Message "Average power(Watts)" time threshold Frecuenzy Energy
800000-threshold-0 48.538333333333334 565.7633333333333 0 800000 27461.20926111111
900000-threshold-0 48.99000000000001 585.885 0 900000 28702.506150000005
1000000-threshold-0 50.12166666666667 529.1966666666667 0 1000000 26524.218927777783
1100000-threshold-0 53.17166666666666 384.06500000000005 0 1100000 20421.376158333333
1200000-threshold-0 51.95333333333334 451.9516666666666 0 1200000 23480.39558888889
1300000-threshold-0 54.02 399.33833333333337 0 1300000 21572.25676666667
1400000-threshold-0 54.005 406.04333333333335 0 1400000 21928.37021666667
1500000-threshold-0 54.096666666666664 428.125 0 1500000 23160.135416666664
1600000-threshold-0 56.48833333333334 339.16333333333336 0 1600000 19158.77142777778
1700000-threshold-0 63.58500000000001 372.12166666666667 0 1700000 23661.356175000004
800000-threshold-50 47.905 429.1016666666667 50 800000 20556.115341666668
900000-threshold-50 50.085 327.81333333333333 50 900000 16418.5308
1000000-threshold-50 48.96833333333334 392.33 50 1000000 19211.74621666667
1100000-threshold-50 51.26833333333334 317.20166666666665 50 1100000 16262.400780555556
1200000-threshold-50 52.54999999999999 293.795 50 1200000 15438.927249999999
1300000-threshold-50 54.21666666666667 251.73833333333334 50 1300000 13648.413305555556
1400000-threshold-50 54.21333333333334 268.8633333333334 50 1400000 14575.977511111116
1500000-threshold-50 53.36666666666667 294.9683333333333 50 1500000 15741.476722222222
1600000-threshold-50 54.92499999999999 268.8066666666667 50 1600000 14764.206166666665
1700000-threshold-50 64.34500000000001 223.70333333333335 50 1700000 14394.190983333337
800000-threshold-100 47.10166666666667 390.40333333333336 100 800000 18388.647672222225
900000-threshold-100 48.028333333333336 348.5016666666666 100 900000 16737.954213888886
1000000-threshold-100 50.97666666666667 259.49666666666667 100 1000000 13228.275077777778
1100000-threshold-100 51.26833333333334 252.50333333333336 100 1100000 12945.425061111113
1200000-threshold-100 51.300000000000004 253.62833333333333 100 1200000 13011.133500000002
1300000-threshold-100 51.796666666666674 248.955 100 1300000 12895.039150000002
1400000-threshold-100 54.51666666666666 201.70166666666668 100 1400000 10996.102527777777
1500000-threshold-100 54.068333333333335 209.90833333333333 100 1500000 11349.393736111111
1600000-threshold-100 53.895 221.22000000000003 100 1600000 11922.651900000003
1700000-threshold-100 62.73166666666666 220.51666666666665 100 1700000 13833.378027777775
800000-threshold-150 46.70499999999999 272.08833333333337 150 800000 12707.885608333332
900000-threshold-150 47.475 259.71999999999997 150 900000 12330.206999999999
1000000-threshold-150 50.42166666666666 176.69499999999996 150 1000000 8909.256391666664
1100000-threshold-150 50.416666666666664 176.33166666666668 150 1100000 8890.054861111112
1200000-threshold-150 52.39166666666667 150.00333333333336 150 1200000 7858.924638888891
1300000-threshold-150 53.696666666666665 140.16 150 1300000 7526.1248
1400000-threshold-150 51.63166666666666 177.88333333333333 150 1400000 9184.41297222222
1500000-threshold-150 52.754999999999995 163.51666666666668 150 1500000 8626.32175
1600000-threshold-150 52.65 170.8983333333333 150 1600000 8997.797249999998
1700000-threshold-150 63.345 135.1316666666667 150 1700000 8559.915425000001
