Message "Average power(Watts)" time threshold Frecuenzy Energy
800000-threshold-0 47.73 831.7933333333334 0 800000 39701.495800000004
900000-threshold-0 49.63166666666667 655.3549999999999 0 900000 32526.36090833333
1000000-threshold-0 49.445 707.7833333333334 0 1000000 34996.34691666667
1100000-threshold-0 53.254999999999995 530.11 0 1100000 28231.008049999997
1200000-threshold-0 53.66166666666667 505.72333333333336 0 1200000 27137.956938888892
1300000-threshold-0 54.19166666666666 473.72166666666664 0 1300000 25671.766652777773
1400000-threshold-0 56.39666666666667 437.6666666666667 0 1400000 24682.94111111111
1500000-threshold-0 58.603333333333325 373.9083333333333 0 1500000 21912.27469444444
1600000-threshold-0 56.18333333333333 476.86833333333334 0 1600000 26792.052527777778
1700000-threshold-0 64.58833333333334 423.27833333333325 0 1700000 27338.842086111108
800000-threshold-50 49.643333333333324 433.8216666666667 50 800000 21536.353605555552
900000-threshold-50 49.365 495.79 50 900000 24474.67335
1000000-threshold-50 51.31166666666667 399.165 50 1000000 20481.821425000002
1100000-threshold-50 53.74666666666667 341.31333333333333 50 1100000 18344.453955555557
1200000-threshold-50 52.25833333333333 368.1716666666666 50 1200000 19240.037680555553
1300000-threshold-50 55.65 307.86499999999995 50 1300000 17132.687249999995
1400000-threshold-50 53.21666666666667 408.03333333333336 50 1400000 21714.17388888889
1500000-threshold-50 56.041666666666664 316.135 50 1500000 17716.732291666667
1600000-threshold-50 56.833333333333336 289.5516666666667 50 1600000 16456.18638888889
1700000-threshold-50 63.34166666666667 306.65500000000003 50 1700000 19424.03879166667
800000-threshold-100 47.458333333333336 442.1033333333333 100 800000 20981.48736111111
900000-threshold-100 50.156666666666666 351.2733333333333 100 900000 17618.699488888888
1000000-threshold-100 49.86166666666667 354.88166666666666 100 1000000 17694.991369444448
1100000-threshold-100 52.18166666666667 306.13 100 1100000 15974.373616666668
1200000-threshold-100 51.88666666666666 303.79833333333335 100 1200000 15763.082855555554
1300000-threshold-100 56.69333333333333 234.025 100 1300000 13267.657333333333
1400000-threshold-100 52.803333333333335 292.69166666666666 100 1400000 15455.09563888889
1500000-threshold-100 55.66166666666666 252.14166666666674 100 1500000 14034.625402777781
1600000-threshold-100 55.171666666666674 261.88000000000005 100 1600000 14448.35606666667
1700000-threshold-100 65.67 207.02499999999998 100 1700000 13595.33175
800000-threshold-150 47.04833333333334 319.9433333333334 150 800000 15052.800594444449
900000-threshold-150 48.78666666666667 258.99 150 900000 12635.258800000001
1000000-threshold-150 48.86166666666666 260.30333333333334 150 1000000 12718.854705555554
1100000-threshold-150 49.93333333333334 251.6783333333333 150 1100000 12567.138111111111
1200000-threshold-150 51.61166666666666 208.28333333333333 150 1200000 10749.84997222222
1300000-threshold-150 52.38666666666666 205.5283333333333 150 1300000 10766.944288888886
1400000-threshold-150 52.69166666666667 187.74666666666667 150 1400000 9892.684777777778
1500000-threshold-150 55.18833333333333 174.11833333333334 150 1500000 9609.300619444444
1600000-threshold-150 56.98500000000001 150.31833333333333 150 1600000 8565.890225000001
1700000-threshold-150 62.23833333333334 199.06833333333336 150 1700000 12389.681286111114
