Message "Average power(Watts)" time threshold Frecuenzy Energy
800000-threshold-0 46.10166666666666 422.58166666666665 0 800000 19481.719136111107
900000-threshold-0 47.035000000000004 361.2816666666667 0 900000 16992.883191666668
1000000-threshold-0 47.754999999999995 331.11833333333334 0 1000000 15812.556008333333
1100000-threshold-0 48.975 298.11999999999995 0 1100000 14600.426999999998
1200000-threshold-0 49.848333333333336 276.68666666666667 0 1200000 13792.36918888889
1300000-threshold-0 49.53333333333333 295.03833333333336 0 1300000 14614.232111111112
1400000-threshold-0 51.56 251.39666666666665 0 1400000 12962.012133333334
1500000-threshold-0 51.22333333333333 270.12166666666667 0 1500000 13836.532172222222
1600000-threshold-0 52.791666666666664 237.74166666666665 0 1600000 12550.778819444442
1700000-threshold-0 60.74 236.54000000000005 0 1700000 14367.439600000003
800000-threshold-50 45.98666666666666 295.77833333333336 50 800000 13601.85962222222
900000-threshold-50 47.86333333333334 216.495 50 900000 10362.17235
1000000-threshold-50 47.88166666666667 220.90833333333333 50 1000000 10577.459180555556
1100000-threshold-50 47.58666666666667 234.8466666666667 50 1100000 11175.570044444446
1200000-threshold-50 49.47833333333333 190.67666666666665 50 1200000 9434.363672222222
1300000-threshold-50 51.13 164.08333333333334 50 1300000 8389.580833333333
1400000-threshold-50 51.54833333333334 170.89666666666668 50 1400000 8809.438338888891
1500000-threshold-50 52.25833333333333 157.0533333333333 50 1500000 8207.345444444443
1600000-threshold-50 51.324999999999996 177.735 50 1600000 9122.248875
1700000-threshold-50 62.291666666666664 127.91333333333334 50 1700000 7967.934722222222
800000-threshold-100 45.42166666666666 255.3166666666667 100 800000 11596.908527777778
900000-threshold-100 47.62166666666666 177.11166666666665 100 900000 8434.352752777777
1000000-threshold-100 48.31666666666667 162.36666666666667 100 1000000 7845.016111111112
1100000-threshold-100 48.866666666666674 158.76500000000001 100 1100000 7758.316333333335
1200000-threshold-100 48.10666666666666 176.47 100 1200000 8489.383466666666
1300000-threshold-100 50.58500000000001 132.9433333333333 100 1300000 6724.938516666666
1400000-threshold-100 50.49666666666667 146.255 100 1400000 7385.3899833333335
1500000-threshold-100 51.98166666666666 130.45833333333331 100 1500000 6781.4415972222205
1600000-threshold-100 51.975 131.6766666666667 100 1600000 6843.894750000002
1700000-threshold-100 61.11000000000001 123.2 100 1700000 7528.752000000001
800000-threshold-150 46.626666666666665 135.0716666666667 150 800000 6297.941577777779
900000-threshold-150 46.758333333333326 133.3083333333333 150 900000 6233.275486111109
1000000-threshold-150 48.06666666666667 109.41333333333331 150 1000000 5259.134222222222
1100000-threshold-150 48.29 110.96499999999999 150 1100000 5358.499849999999
1200000-threshold-150 47.92333333333334 121.80499999999999 150 1200000 5837.301616666667
1300000-threshold-150 50.043333333333344 95.44833333333334 150 1300000 4776.552761111112
1400000-threshold-150 50.39333333333334 94.32666666666667 150 1400000 4753.435155555556
1500000-threshold-150 51.07833333333334 91.25833333333333 150 1500000 4661.323569444445
1600000-threshold-150 50.95833333333334 95.80666666666667 150 1600000 4882.148055555556
1700000-threshold-150 60.406666666666666 91.46 150 1700000 5524.793733333333
